CO2,p,T,H2O,Points:0,Points:1,Points:2,H2O
0.99841,1.00E+07,350.22,0.00159,0,0.0014,0.0050873,7.95E-06
0.998432,1.00E+07,350.16,0.001568,0,-0.0014,0.003632,7.84E-06
0.998462,1.00E+07,350.21,0.001538,0,0.001,0.002459,7.69E-06
0.99852,1.00E+07,350.21,0.00148,0,0.0014,0.0076333,7.40E-06
0.998522,1.00E+07,350.18,0.001478,0,-0.001,0.001772,7.39E-06
0.998528,1.00E+07,350.21,0.001472,0,0.0014,0.004841,7.36E-06
0.99854,1.00E+07,350.14,0.00146,0,-0.0014,0.0029239,7.30E-06
0.998558,1.00E+07,350.17,0.001442,0,-0.0014,0.0050873,7.21E-06
0.998564,1.00E+07,350.21,0.001436,0,0.001,0.012042,7.18E-06
0.998668,1.00E+07,350.21,0.001332,0,0.0014,0.0045963,6.66E-06
0.99867,1.00E+07,349.14,0.00133,0,0.0002,0.00021684,6.65E-06
0.998702,1.00E+07,349.13,0.001298,0,-0.0002,0.00021684,6.49E-06
0.99871,1.00E+07,350.21,0.00129,0,0.0014,0.0078965,6.45E-06
0.99873,1.00E+07,350.11,0.00127,0,-0.0006,0.00087528,6.35E-06
0.998746,1.00E+07,350.2,0.001254,0,0.001,0.012332,6.27E-06
0.998748,1.00E+07,350.14,0.001252,0,-0.0014,0.0033945,6.26E-06
0.99875,1.00E+07,350.14,0.00125,0,-0.0014,0.0031585,6.25E-06
0.998776,1.00E+07,350.17,0.001224,0,-0.001,0.012623,6.12E-06
0.99882,1.00E+07,350.2,0.00118,0,0.0014,0.004353,5.90E-06
0.998828,1.00E+07,349.14,0.001172,0,0.0002,0,5.86E-06
0.998844,1.00E+07,349.13,0.001156,0,-0.0002,0,5.78E-06
0.998862,1.00E+07,350.14,0.001138,0,-0.0014,0.0026907,5.69E-06
0.998874,1.00E+07,350.03,0.001126,0,0.0006,0.0013209,5.63E-06
0.998884,1.00E+07,350.16,0.001116,0,-0.0014,0.005335,5.58E-06
0.998886,1.00E+07,350.2,0.001114,0,0.0014,0.0081613,5.57E-06
0.998982,1.00E+07,350.19,0.001018,0,0.0014,0.0041112,5.09E-06
0.999016,1.00E+07,350.2,0.000984,0,0.0014,0.0084277,4.92E-06
0.999028,1.00E+07,350.18,0.000972,0,0.001,0.0022286,4.86E-06
0.999038,1.00E+07,350.19,0.000962,0,0.001,0.012623,4.81E-06
0.999064,1.00E+07,350.16,0.000936,0,-0.0014,0.0089654,4.68E-06
0.999068,1.00E+07,350.16,0.000932,0,-0.0014,0.0086957,4.66E-06
0.999076,1.00E+07,350.16,0.000924,0,-0.0014,0.0092366,4.62E-06
0.999088,1.00E+07,350.16,0.000912,0,-0.0014,0.0084277,4.56E-06
0.9991,1.00E+07,350.19,0.0009,0,0.0014,0.0086957,4.50E-06
0.99911,1.00E+07,350.16,0.00089,0,-0.0014,0.0095096,4.45E-06
0.999126,1.00E+07,350.16,0.000874,0,-0.0014,0.0081613,4.37E-06
0.999138,1.00E+07,350.17,0.000862,0,-0.001,0.0015458,4.31E-06
0.999146,1.00E+07,350.18,0.000854,0,0.0014,0.0038709,4.27E-06
0.999158,1.00E+07,350.19,0.000842,0,0.0014,0.0089654,4.21E-06
0.999168,1.00E+07,350.16,0.000832,0,-0.0014,0.0097841,4.16E-06
0.999174,1.00E+07,350.16,0.000826,0,-0.0014,0.0055842,4.13E-06
0.999178,1.00E+07,350.16,0.000822,0,-0.0014,0.0078965,4.11E-06
0.999224,1.00E+07,350.19,0.000776,0,0.0014,0.0092366,3.88E-06
0.999234,1.00E+07,350.31,0.000766,0,-0.0002,0.013808,3.83E-06
0.999236,1.00E+07,350.32,0.000764,0,0.0002,0.013808,3.82E-06
0.999244,1.00E+07,350.16,0.000756,0,-0.0014,0.0076333,3.78E-06
0.999246,1.00E+07,350.16,0.000754,0,-0.0014,0.01006,3.77E-06
0.99931,1.00E+07,350.17,0.00069,0,0.0014,0.003632,3.45E-06
0.999312,1.00E+07,350.03,0.000688,0,0.0006,0.0010974,3.44E-06
0.999314,1.00E+07,350.16,0.000686,0,-0.0014,0.0073717,3.43E-06
0.99933,1.00E+07,350.18,0.00067,0,0.0014,0.0095096,3.35E-06
0.999336,1.00E+07,350.16,0.000664,0,-0.0014,0.010338,3.32E-06
0.999338,1.00E+07,350.24,0.000662,0,-0.0006,0.013509,3.31E-06
